Competition,Match Name,Team A,Team B,Half,Time,Event Name,Player1 Name,Player1 Team,Player2 Name,Player2 Team,X,Y,Inversion (Possession),Inversion (Active),Offensiveness,Possession,Active Team,Transition,Player Transition,Goal Difference,Possession Number,Move Number,Last Direct Play,Last Counter Attack,Last Maintenance,Last Build Up,Last Sustained Threat,Last Fast Tempo,Last Crossing,Last High Press,Time From Possession Start,Time From Set Play,Time From Direct Play,Time From Counter Attack,Time From Maintenance,Time From Build Up,Time From Sustained Threat,Time From Fast Tempo,Time From Crossing,Time From High Press,Time To Shot,Time To Goal,Time To Offside,Possession Regain,Possession Loss,Disruption,Move Start,BMP+,BMP-,xG Score,Goal Move,wBMP+,wBMP-,wxG Score,wGoal Move,Distance Forward,SPxG Value,SPwxG Value,SPxG+ Player,SPxG+ Team,SPxG- Player,SPxG- Team
EPL 2011/12,11.08.13 Blackburn Rovers v Wolverhampton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,0,0.0,Start Of Half,Steven FLETCHER,Wolverhampton Wanderers,,,-0.02,0.04,-1.0,-1.0,0.002923553407407407,B,B,False,True,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.039467971,0.0,0.0,0,0.02543319248145651,0.0,0.0,0.0,0.15000000000000002,0.0,0.0,,,,
EPL 2011/12,11.08.13 Blackburn Rovers v Wolverhampton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,0,0.3,Pass,Kevin DOYLE,Wolverhampton Wanderers,,,-0.17,-0.68,-1.0,-1.0,0.0007556609629629631,B,B,False,True,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.010201423000000001,0.0,0.0,0,0.006573805244352631,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.13 Blackburn Rovers v Wolverhampton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,0,1.1,Pass,Jamie O'HARA,Wolverhampton Wanderers,,,1.22,0.15,-1.0,-1.0,0.0007272918518518518,B,B,False,True,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.00981844,0.0,0.0,0,0.0063270106889364,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.13 Blackburn Rovers v Wolverhampton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,0,3.3,Touch,Stephen WARD,Wolverhampton Wanderers,,,20.48,20.56,-1.0,-1.0,0.0,B,B,False,False,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.2699999999999996,0.0,0.0,,,,
EPL 2011/12,11.08.13 Blackburn Rovers v Wolverhampton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,0,5.2,Pass,Stephen WARD,Wolverhampton Wanderers,,,20.21,22.45,-1.0,-1.0,0.0,B,B,True,True,0,1,4,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.2,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,True,False,False,0.0,-0.016277173,0.0,0,0.0,-0.01048902346571013,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.13 Blackburn Rovers v Wolverhampton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,0,8.1,Touch,Michel SALGADO,Blackburn Rovers,,,-23.62,28.23,1.0,1.0,0.0,A,A,False,False,0,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,True,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.710000000000001,0.0,0.0,,,,
EPL 2011/12,11.08.13 Blackburn Rovers v Wolverhampton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,0,9.2,Pass,Michel SALGADO,Blackburn Rovers,,,-20.91,30.23,1.0,1.0,0.0,A,A,False,True,0,2,5,0.6020000000000001,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0999999999999996,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.78,0.0,0.0,,,,
EPL 2011/12,11.08.13 Blackburn Rovers v Wolverhampton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,0,12.0,Header,Christophe BERRA,Wolverhampton Wanderers,,,11.13,22.72,1.0,-1.0,0.0,A,B,False,True,0,2,6,0.6020000000000001,0.0,0.0,0.0,0.0,0.0,0,0.0,3.9000000000000004,inf,2.8000000000000007,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,True,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.420000000000001,0.0,0.0,,,,
EPL 2011/12,11.08.13 Blackburn Rovers v Wolverhampton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,0,14.3,Header,David DUNN,Blackburn Rovers,,,-5.71,20.03,1.0,1.0,0.0,A,A,False,True,0,2,7,0.6020000000000001,0.0,0.0,0.0,0.0,0.0,0,0.0,6.200000000000001,inf,5.100000000000001,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.63,0.0,0.0,,,,
EPL 2011/12,11.08.13 Blackburn Rovers v Wolverhampton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,0,15.5,Pass,Karl HENRY,Wolverhampton Wanderers,,,0.08,18.78,1.0,-1.0,0.0,A,B,True,True,0,2,8,0.6020000000000001,0.0,0.0,0.0,0.0,0.0,0,0.0,7.4,inf,6.300000000000001,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,True,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.13 Blackburn Rovers v Wolverhampton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,0,17.6,Foul,Steven N'ZONZI,Blackburn Rovers,Kevin DOYLE,Wolverhampton Wanderers,-12.85,18.22,,,0.0,U,U,True,False,0,-1,-1,0.6020000000000001,0.0,0.0,0.0,0.0,0.0,0,0.0,9.500000000000002,inf,8.400000000000002,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.13 Blackburn Rovers v Wolverhampton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,0,42.1,Direct Free Kick Pass,Paul ROBINSON,Blackburn Rovers,,,-18.64,15.55,1.0,1.0,0.008463353703703705,A,A,False,True,0,3,9,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.114255275,0.0,0.0,0,0.07362619175677276,0.0,0.0,0.0,50.21,0.0,0.0,,,,
EPL 2011/12,11.08.13 Blackburn Rovers v Wolverhampton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,0,45.3,Header,Morten GAMST PEDERSEN,Blackburn Rovers,,,31.57,-16.66,1.0,1.0,0.0,A,A,True,True,0,3,10,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.1999999999999957,inf,3.1999999999999957,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,True,False,True,0.0,-0.171696868,0.0,0,0.0,-0.11064160081366309,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.13 Blackburn Rovers v Wolverhampton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,0,47.4,Goalkeeper Pick Up,Wayne HENNESSEY,Wolverhampton Wanderers,,,49.76,-9.48,-1.0,-1.0,0.0,B,B,False,False,0,4,11,0.0,0.3565972222222218,0.4,0.0,0.0,0.0,0,0.0,0.0,inf,inf,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,True,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13.019999999999996,0.0,0.0,,,,
EPL 2011/12,11.08.13 Blackburn Rovers v Wolverhampton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,0,55.5,Touch,Wayne HENNESSEY,Wolverhampton Wanderers,,,36.74,-1.93,-1.0,-1.0,0.0,B,B,False,False,0,4,11,0.0,0.3565972222222218,0.4,0.0,0.0,0.0,0,0.0,8.100000000000001,inf,inf,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.030000000000001,0.0,0.0,,,,
EPL 2011/12,11.08.13 Blackburn Rovers v Wolverhampton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,0,59.0,Touch,Wayne HENNESSEY,Wolverhampton Wanderers,,,33.71,-11.72,-1.0,-1.0,0.0,B,B,False,False,0,4,11,0.0,0.3565972222222218,0.4,0.0,0.0,0.0,0,0.0,11.600000000000001,inf,inf,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.5200000000000031,0.0,0.0,,,,
EPL 2011/12,11.08.13 Blackburn Rovers v Wolverhampton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,0,61.5,Pass,Wayne HENNESSEY,Wolverhampton Wanderers,,,32.19,-17.63,-1.0,-1.0,0.003308604518518518,B,B,False,True,0,4,11,1.0,0.3565972222222218,0.4,0.0,0.0,0.0,0,0.0,14.100000000000001,inf,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.044666160999999996,0.0,0.0,0,0.02878291032799041,0.0,0.0,0.0,60.56999999999999,0.0,0.0,,,,
EPL 2011/12,11.08.13 Blackburn Rovers v Wolverhampton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,0,65.4,Header,Steven FLETCHER,Wolverhampton Wanderers,,,-28.38,-27.19,-1.0,-1.0,0.009412674074074074,B,B,False,True,0,4,12,1.0,0.3565972222222218,0.4,0.0,0.0,0.0,0,0.0,18.000000000000007,inf,3.9000000000000057,0.0,3.9000000000000057,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.1270711,0.0,0.0,0,0.081884719767591,0.0,0.0,0.0,8.849999999999998,0.0,0.0,,,,
