Competition,Match Name,Team A,Team B,Half,Time,Event Name,Player1 Name,Player1 Team,Player2 Name,Player2 Team,X,Y,Inversion (Possession),Inversion (Active),Offensiveness,Possession,Active Team,Transition,Player Transition,Goal Difference,Possession Number,Move Number,Last Direct Play,Last Counter Attack,Last Maintenance,Last Build Up,Last Sustained Threat,Last Fast Tempo,Last Crossing,Last High Press,Time From Possession Start,Time From Set Play,Time From Direct Play,Time From Counter Attack,Time From Maintenance,Time From Build Up,Time From Sustained Threat,Time From Fast Tempo,Time From Crossing,Time From High Press,Time To Shot,Time To Goal,Time To Offside,Possession Regain,Possession Loss,Disruption,Move Start,BMP+,BMP-,xG Score,Goal Move,wBMP+,wBMP-,wxG Score,wGoal Move,Distance Forward,SPxG Value,SPwxG Value,SPxG+ Player,SPxG+ Team,SPxG- Player,SPxG- Team
EPL 2011/12,11.08.13 Newcastle United v Arsenal,Newcastle United,Arsenal,0,0.0,Start Of Half,Demba BA,Newcastle United,,,0.0,0.0,1.0,1.0,0.0027208908148148147,A,A,False,True,0,1,1,0.0,0.0,0.31999999999999995,0.0,0.0,0.0,0,0.0,0.0,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.036732026,0.0,0.0,0,0.02367014730734106,0.0,0.0,0,1.0,0.0,0.0,,,,
EPL 2011/12,11.08.13 Newcastle United v Arsenal,Newcastle United,Arsenal,0,0.5,Pass,Shola AMEOBI,Newcastle United,,,1.0,4.0,1.0,1.0,0.0007556609629629631,A,A,False,True,0,1,2,0.0,0.0,0.31999999999999995,0.0,0.0,0.0,0,0.0,0.5,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.010201423000000001,0.0,0.0,0,0.006573805244352631,0.0,0.0,0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.13 Newcastle United v Arsenal,Newcastle United,Arsenal,0,1.5,Touch,Cheik TIOTE,Newcastle United,,,-11.0,-5.0,1.0,1.0,0.0,A,A,False,False,0,1,3,0.0,0.0,0.31999999999999995,0.0,0.0,0.0,0,0.0,1.5,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,,,,
EPL 2011/12,11.08.13 Newcastle United v Arsenal,Newcastle United,Arsenal,0,2.3,Touch,Cheik TIOTE,Newcastle United,,,-9.0,-4.0,1.0,1.0,0.0,A,A,False,False,0,1,3,0.0,0.0,0.31999999999999995,0.0,0.0,0.0,0,0.0,2.3,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.0,0.0,0.0,,,,
EPL 2011/12,11.08.13 Newcastle United v Arsenal,Newcastle United,Arsenal,0,3.5,Touch,Cheik TIOTE,Newcastle United,,,-6.0,-1.0,1.0,1.0,0.0,A,A,False,False,0,1,3,0.0,0.0,0.31999999999999995,0.0,0.0,0.0,0,0.0,3.5,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.13 Newcastle United v Arsenal,Newcastle United,Arsenal,0,3.9,Touch,Cheik TIOTE,Newcastle United,,,-7.0,-1.0,1.0,1.0,0.0,A,A,False,False,0,1,3,0.0,0.0,0.31999999999999995,0.0,0.0,0.0,0,0.0,3.9,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.13 Newcastle United v Arsenal,Newcastle United,Arsenal,0,4.6,Pass,Cheik TIOTE,Newcastle United,,,-7.0,-3.0,1.0,1.0,0.0008784457777777778,A,A,False,True,0,1,3,0.0,0.0,0.31999999999999995,0.0,0.0,0.0,0,0.0,4.6,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.011859018,0.0,0.0,0,0.007641960805004581,0.0,0.0,0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.13 Newcastle United v Arsenal,Newcastle United,Arsenal,0,5.7,Touch,Fabricio COLOCCINI,Newcastle United,,,-21.0,-8.0,1.0,1.0,0.0,A,A,False,False,0,1,4,0.0,0.0,0.31999999999999995,0.0,0.0,0.0,0,0.0,5.7,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,,,,
EPL 2011/12,11.08.13 Newcastle United v Arsenal,Newcastle United,Arsenal,0,7.1,Pass,Fabricio COLOCCINI,Newcastle United,,,-20.0,-6.0,1.0,1.0,0.0008125059259259259,A,A,False,True,0,1,4,0.0,0.0,0.31999999999999995,0.0,0.0,0.0,0,0.0,7.1,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.01096883,0.0,0.0,0,0.007068322936752301,0.0,0.0,0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.13 Newcastle United v Arsenal,Newcastle United,Arsenal,0,8.4,Touch,Steven TAYLOR,Newcastle United,,,-20.0,8.0,1.0,1.0,0.0,A,A,False,False,0,1,5,0.0,0.0,0.31999999999999995,0.0,0.0,0.0,0,0.0,8.4,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,,,,
