Competition,Match Name,Team A,Team B,Half,Time,Event Name,Player1 Name,Player1 Team,Player2 Name,Player2 Team,X,Y,Inversion (Possession),Inversion (Active),Offensiveness,Possession,Active Team,Transition,Player Transition,Goal Difference,Possession Number,Move Number,Last Direct Play,Last Counter Attack,Last Maintenance,Last Build Up,Last Sustained Threat,Last Fast Tempo,Last Crossing,Last High Press,Time From Possession Start,Time From Set Play,Time From Direct Play,Time From Counter Attack,Time From Maintenance,Time From Build Up,Time From Sustained Threat,Time From Fast Tempo,Time From Crossing,Time From High Press,Time To Shot,Time To Goal,Time To Offside,Possession Regain,Possession Loss,Disruption,Move Start,BMP+,BMP-,xG Score,Goal Move,wBMP+,wBMP-,wxG Score,wGoal Move,Distance Forward,SPxG Value,SPwxG Value,SPxG+ Player,SPxG+ Team,SPxG- Player,SPxG- Team
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,0.0,Start Of Half,Danny GRAHAM,Swansea City,,,-0.03,0.02,-1.0,-1.0,0.002923553407407407,B,B,False,True,0,1,1,0.0,0.0,0.05999999999999994,0.0,0.0,0.0,0,0.0,0.0,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.039467971,0.0,0.0,0,0.02543319248145651,0.0,0.0,0.0,0.51,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,0.3,Pass,Stephen DOBBIE,Swansea City,,,-0.54,-1.25,-1.0,-1.0,0.0006366065185185186,B,B,False,True,0,1,2,0.0,0.0,0.05999999999999994,0.0,0.0,0.0,0,0.0,0.3,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.008594188000000001,0.0,0.0,0,0.005538101708492281,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,1.1,Touch,Leon BRITTON,Swansea City,,,2.63,-0.47,-1.0,-1.0,0.0,B,B,False,False,0,1,3,0.0,0.0,0.05999999999999994,0.0,0.0,0.0,0,0.0,1.1,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,1.8,Pass,Leon BRITTON,Swansea City,,,3.31,0.0,-1.0,-1.0,0.0008359688148148148,B,B,False,True,0,1,3,0.0,0.0,0.05999999999999994,0.0,0.0,0.0,0,0.0,1.8,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.011285578999999999,0.0,0.0,0,0.00727243624891899,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,3.6,Pass,Alan TATE,Swansea City,,,16.81,23.69,-1.0,-1.0,0.0008028191111111112,B,B,False,True,0,1,4,0.0,0.0,0.05999999999999994,0.0,0.0,0.0,0,0.0,3.6,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.010838058000000001,0.0,0.0,0,0.006984053354026981,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,4.8,Touch,Ashley WILLIAMS,Swansea City,,,25.0,12.19,-1.0,-1.0,0.0,B,B,False,False,0,1,5,0.0,0.0,0.05999999999999994,0.0,0.0,0.0,0,0.0,4.8,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,6.0,Pass,Ashley WILLIAMS,Swansea City,,,25.6,11.92,-1.0,-1.0,0.00040615540740740746,B,B,False,True,0,1,5,0.0,0.0,0.05999999999999994,0.0,0.0,0.0,0,0.0,6.0,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.0054830980000000005,0.0,0.0,0,0.0035333127925093804,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,9.0,Pass,Steven CAULKER,Swansea City,,,30.38,-18.78,-1.0,-1.0,0.00040124622222222225,B,B,False,True,0,1,6,0.0,0.0,0.05999999999999994,0.0,0.0,0.0,0,0.0,9.0,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.005416824000000001,0.0,0.0,0,0.0034906057732274408,0.0,0.0,0.0,3.669999999999998,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,10.0,Pass,Angel RANGEL,Swansea City,,,26.71,-32.97,-1.0,-1.0,0.0,B,B,False,True,0,1,7,0.0,0.0,0.05999999999999994,0.0,0.0,0.0,0,0.0,10.0,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,48.68,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,10.3,Block,Adam JOHNSON,Manchester City,,,21.97,-31.0,-1.0,1.0,0.0,B,A,True,True,0,1,8,0.0,0.0,0.05999999999999994,0.0,0.0,0.0,0,0.0,10.3,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,True,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,11.2,Ball Out Of Play,,,,,13.0,-35.0,,,0.0,U,U,True,False,0,-1,-1,0.0,0.0,0.05999999999999994,0.0,0.0,0.0,0,0.0,11.2,inf,inf,inf,0.8999999999999986,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,35.1,Throw In,Angel RANGEL,Swansea City,,,4.64,-35.0,-1.0,-1.0,0.0005468522962962962,B,B,False,True,0,2,9,0.0,0.0,0.125,0.0,0.0,0.0,0,0.0,0.0,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.007382506,0.0,0.0,0,0.00475729284622986,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,36.0,Touch,Kemy AGUSTIEN,Swansea City,,,6.61,-26.18,-1.0,-1.0,0.0,B,B,False,False,0,2,10,0.0,0.0,0.125,0.0,0.0,0.0,0,0.0,0.8999999999999986,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,37.1,Pass,Kemy AGUSTIEN,Swansea City,,,8.99,-28.5,-1.0,-1.0,0.0005468522962962962,B,B,False,True,0,2,10,0.0,0.0,0.125,0.0,0.0,0.0,0,0.0,2.0,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.007382506,0.0,0.0,0,0.00475729284622986,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,37.7,Pass,Angel RANGEL,Swansea City,,,9.87,-33.12,-1.0,-1.0,0.0005468522962962962,B,B,False,True,0,2,11,0.0,0.0,0.125,0.0,0.0,0.0,0,0.0,2.6000000000000014,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.007382506,0.0,0.0,0,0.00475729284622986,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,38.2,Pass,Kemy AGUSTIEN,Swansea City,,,11.57,-28.37,-1.0,-1.0,0.0005468522962962962,B,B,False,True,0,2,12,0.0,0.0,0.125,0.0,0.0,0.0,0,0.0,3.1000000000000014,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.007382506,0.0,0.0,0,0.00475729284622986,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,38.8,Pass,Angel RANGEL,Swansea City,,,12.74,-32.93,-1.0,-1.0,0.0002990664444444444,B,B,False,True,0,2,13,0.0,0.0,0.125,0.0,0.0,0.0,0,0.0,3.6999999999999957,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.004037397,0.0,0.0,0,0.00260170189709157,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,41.0,Pass,Steven CAULKER,Swansea City,,,30.98,-24.4,-1.0,-1.0,0.0004315764444444444,B,B,False,True,0,2,14,0.0,0.0,0.125,0.0,0.0,0.0,0,0.0,5.899999999999999,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0058262819999999995,0.0,0.0,0,0.00375446084008842,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,44.0,Touch,Michel VORM,Swansea City,,,46.17,-3.88,-1.0,-1.0,0.0,B,B,False,False,0,2,15,0.0,0.0,0.125,0.0,0.0,0.0,0,0.0,8.899999999999999,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.240000000000002,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,45.4,Clearance,Michel VORM,Swansea City,,,45.93,1.41,-1.0,-1.0,0.0,B,B,True,True,0,2,15,0.09650000000000003,0.0,0.125,0.0,0.0,0.0,0,0.0,10.299999999999997,inf,0.0,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,True,False,False,0.0,-0.011627095,0.0,0,0.0,-0.007492509435946951,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,47.6,Ball Out Of Play,,,,,24.0,35.0,,,0.0,U,U,True,False,0,-1,-1,0.09650000000000003,0.0,0.125,0.0,0.0,0.0,0,0.0,12.5,inf,2.200000000000003,inf,2.200000000000003,inf,inf,inf,inf,inf,30.199999999999996,inf,inf,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,60.6,Throw In,Micah RICHARDS,Manchester City,,,15.73,35.0,1.0,1.0,0.002203115111111111,A,A,False,True,0,3,16,0.0,0.0,0.0,0.41764705882352937,0.0,0.0,0,1.0,0.0,inf,inf,inf,inf,0.0,inf,inf,inf,0.0,17.199999999999996,inf,inf,False,False,False,True,0.029742054,0.0,0.0,0,0.019165803688663743,0.0,0.0,0.0,5.449999999999999,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,61.6,Touch,David SILVA,Manchester City,,,21.18,27.1,1.0,1.0,0.0,A,A,False,False,0,3,17,0.0,0.0,0.0,0.41764705882352937,0.0,0.0,0,1.0,1.0,inf,inf,inf,inf,0.0,inf,inf,inf,1.0,16.199999999999996,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,62.8,Touch,David SILVA,Manchester City,,,18.39,22.44,1.0,1.0,0.0,A,A,False,False,0,3,17,0.0,0.0,0.0,0.41764705882352937,0.0,0.0,0,1.0,2.1999999999999957,inf,inf,inf,inf,0.0,inf,inf,inf,2.1999999999999957,15.0,inf,inf,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,63.8,Pass,David SILVA,Manchester City,,,16.58,18.65,1.0,1.0,0.0030995038518518516,A,A,False,True,0,3,17,0.0,0.0,0.0,0.41764705882352937,0.0,0.0,0,1.0,3.1999999999999957,inf,inf,inf,inf,0.0,inf,inf,inf,3.1999999999999957,14.0,inf,inf,False,False,False,False,0.041843302,0.0,0.0,0,0.02696385770187462,0.0,0.0,0.0,1.4700000000000024,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,65.4,Touch,Adam JOHNSON,Manchester City,,,18.05,-13.44,1.0,1.0,0.0,A,A,False,False,0,3,18,0.0,0.0,0.0,0.41764705882352937,0.0,0.0,0,1.0,4.800000000000004,inf,inf,inf,inf,0.0,inf,inf,inf,4.800000000000004,12.399999999999991,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,66.4,Touch,Adam JOHNSON,Manchester City,,,17.04,-14.26,1.0,1.0,0.0,A,A,False,False,0,3,18,0.0,0.0,0.0,0.41764705882352937,0.0,0.0,0,1.0,5.800000000000004,inf,inf,inf,inf,0.0,inf,inf,inf,5.800000000000004,11.399999999999991,inf,inf,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.15 Manchester City v Swansea City,Manchester City,Swansea City,0,67.2,Pass,Adam JOHNSON,Manchester City,,,15.99,-14.35,1.0,1.0,0.0040202098518518515,A,A,False,True,0,3,18,0.0,0.0,0.0,0.41764705882352937,0.0,0.0,0,1.0,6.600000000000001,inf,inf,inf,inf,0.0,inf,inf,inf,6.600000000000001,10.599999999999994,inf,inf,False,False,False,False,0.054272833,0.0,0.0,0,0.034973457546194735,0.0,0.0,0.0,5.589999999999998,0.0,0.0,,,,
