Competition,Match Name,Team A,Team B,Half,Time,Event Name,Player1 Name,Player1 Team,Player2 Name,Player2 Team,X,Y,Inversion (Possession),Inversion (Active),Offensiveness,Possession,Active Team,Transition,Player Transition,Goal Difference,Possession Number,Move Number,Last Direct Play,Last Counter Attack,Last Maintenance,Last Build Up,Last Sustained Threat,Last Fast Tempo,Last Crossing,Last High Press,Time From Possession Start,Time From Set Play,Time From Direct Play,Time From Counter Attack,Time From Maintenance,Time From Build Up,Time From Sustained Threat,Time From Fast Tempo,Time From Crossing,Time From High Press,Time To Shot,Time To Goal,Time To Offside,Possession Regain,Possession Loss,Disruption,Move Start,BMP+,BMP-,xG Score,Goal Move,wBMP+,wBMP-,wxG Score,wGoal Move,Distance Forward,SPxG Value,SPwxG Value,SPxG+ Player,SPxG+ Team,SPxG- Player,SPxG- Team
EPL 2011/12,11.08.20 Arsenal v Liverpool,Arsenal,Liverpool,0,0.0,Start Of Half,Aaron RAMSEY,Arsenal,,,0.38,-0.59,-1.0,-1.0,0.0026338955555555554,A,A,False,True,0,1,1,0.0,0.0,0.07000000000000006,0.0,0.0,0.0,0,0.0,0.0,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.03555759,0.0,0.0,0,0.0229133397976479,0.0,0.0,0.0,0.85,0.0,0.0,,,,
EPL 2011/12,11.08.20 Arsenal v Liverpool,Arsenal,Liverpool,0,0.6,Pass,Robin VAN PERSIE,Arsenal,,,-0.47,1.08,-1.0,-1.0,0.0007556609629629631,A,A,False,True,0,1,2,0.0,0.0,0.07000000000000006,0.0,0.0,0.0,0,0.0,0.6,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.010201423000000001,0.0,0.0,0,0.006573805244352631,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Arsenal v Liverpool,Arsenal,Liverpool,0,2.3,Pass,Samir NASRI,Arsenal,,,9.32,0.71,-1.0,-1.0,0.0008125059259259259,A,A,False,True,0,1,3,0.0,0.0,0.07000000000000006,0.0,0.0,0.0,0,0.0,2.3,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.01096883,0.0,0.0,0,0.007068322936752301,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Arsenal v Liverpool,Arsenal,Liverpool,0,4.5,Touch,Laurent KOSCIELNY,Arsenal,,,24.56,-14.4,-1.0,-1.0,0.0,A,A,False,False,0,1,4,0.0,0.0,0.07000000000000006,0.0,0.0,0.0,0,0.0,4.5,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.46999999999999886,0.0,0.0,,,,
EPL 2011/12,11.08.20 Arsenal v Liverpool,Arsenal,Liverpool,0,5.8,Pass,Laurent KOSCIELNY,Arsenal,,,24.09,-17.15,-1.0,-1.0,0.0,A,A,True,True,0,1,4,1.0,0.0,0.07000000000000006,0.0,0.0,0.0,0,0.0,5.8,inf,0.0,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,True,False,False,0.0,-0.020425269,0.0,0,0.0,-0.01316205988806789,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Arsenal v Liverpool,Arsenal,Liverpool,0,11.4,Foul,Jose ENRIQUE,Liverpool,Theo WALCOTT,Arsenal,-46.75,-24.89,,,0.0,U,U,True,False,0,-1,-1,1.0,0.0,0.07000000000000006,0.0,0.0,0.0,0,0.0,11.4,inf,5.6000000000000005,inf,5.6000000000000005,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Arsenal v Liverpool,Arsenal,Liverpool,0,36.3,Direct Free Kick Pass,Jose REINA,Liverpool,,,-48.63,-24.74,1.0,1.0,0.0011961016296296297,B,B,False,True,0,2,5,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.016147372,0.0,0.0,0,0.01040537959617132,0.0,0.0,0.0,58.050000000000004,0.0,0.0,,,,
EPL 2011/12,11.08.20 Arsenal v Liverpool,Arsenal,Liverpool,0,40.0,Pass,Andrew CARROLL,Liverpool,,,9.42,-20.67,1.0,1.0,0.0012332145185185185,B,B,False,True,0,2,6,1.0,0.0,0.0,0.23529411764705876,0.0,0.75,0,0.0,3.700000000000003,inf,3.700000000000003,inf,inf,0.0,inf,0.0,inf,inf,inf,inf,inf,False,False,False,True,0.016648396,0.0,0.0,0,0.01072823986760076,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Arsenal v Liverpool,Arsenal,Liverpool,0,41.5,Tackle,Aaron RAMSEY,Arsenal,Charlie ADAM,Liverpool,5.03,-21.77,1.0,1.0,0.0012332145185185185,B,B,False,True,0,2,7,1.0,0.0,0.0,0.23529411764705876,0.0,0.75,0,0.0,5.200000000000003,inf,5.200000000000003,inf,inf,0.0,inf,0.0,inf,inf,inf,inf,inf,False,False,False,True,0.016648396,0.0,0.0,0,0.01072823986760076,0.0,0.0,0.0,3.999999999999999,0.0,0.0,,,,
EPL 2011/12,11.08.20 Arsenal v Liverpool,Arsenal,Liverpool,0,43.5,Pass,Stewart DOWNING,Liverpool,,,9.03,-28.78,1.0,1.0,0.0022762304444444445,B,B,False,True,0,2,8,1.0,0.0,0.0,0.23529411764705876,0.0,0.75,0,0.0,7.200000000000003,inf,7.200000000000003,inf,inf,0.0,inf,0.0,inf,inf,inf,inf,inf,False,False,False,True,0.030729111,0.0,0.0,0,0.01980186401897991,0.0,0.0,0.0,3.4000000000000004,0.0,0.0,,,,
