Competition,Match Name,Team A,Team B,Half,Time,Event Name,Player1 Name,Player1 Team,Player2 Name,Player2 Team,X,Y,Inversion (Possession),Inversion (Active),Offensiveness,Possession,Active Team,Transition,Player Transition,Goal Difference,Possession Number,Move Number,Last Direct Play,Last Counter Attack,Last Maintenance,Last Build Up,Last Sustained Threat,Last Fast Tempo,Last Crossing,Last High Press,Time From Possession Start,Time From Set Play,Time From Direct Play,Time From Counter Attack,Time From Maintenance,Time From Build Up,Time From Sustained Threat,Time From Fast Tempo,Time From Crossing,Time From High Press,Time To Shot,Time To Goal,Time To Offside,Possession Regain,Possession Loss,Disruption,Move Start,BMP+,BMP-,xG Score,Goal Move,wBMP+,wBMP-,wxG Score,wGoal Move,Distance Forward,SPxG Value,SPwxG Value,SPxG+ Player,SPxG+ Team,SPxG- Player,SPxG- Team
EPL 2011/12,11.08.20 Chelsea v West Bromwich Albion,Chelsea,West Bromwich Albion,0,0.0,Start Of Half,Shane LONG,West Bromwich Albion,,,0.0,0.0,1.0,1.0,0.0008125059259259259,B,B,False,True,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.01096883,0.0,0.0,0,0.007068322936752301,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Chelsea v West Bromwich Albion,Chelsea,West Bromwich Albion,0,0.7,Pass,Somen TCHOYI,West Bromwich Albion,,,0.0,1.0,1.0,1.0,0.0009061000740740741,B,B,False,True,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.012232351,0.0,0.0,0,0.00788253689260431,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Chelsea v West Bromwich Albion,Chelsea,West Bromwich Albion,0,1.4,Touch,Youssouf MULUMBU,West Bromwich Albion,,,-3.0,1.0,1.0,1.0,0.0,B,B,False,False,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Chelsea v West Bromwich Albion,Chelsea,West Bromwich Albion,0,2.3,Pass,Youssouf MULUMBU,West Bromwich Albion,,,-6.0,-1.0,1.0,1.0,0.00037351881481481483,B,B,False,True,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.005042504000000001,0.0,0.0,0,0.0032493936620282405,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Chelsea v West Bromwich Albion,Chelsea,West Bromwich Albion,0,4.5,Touch,Gabriel TAMAS,West Bromwich Albion,,,-27.0,6.0,1.0,1.0,0.0,B,B,False,False,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Chelsea v West Bromwich Albion,Chelsea,West Bromwich Albion,0,6.4,Pass,Gabriel TAMAS,West Bromwich Albion,,,-31.0,9.0,1.0,1.0,0.0,B,B,True,True,0,1,4,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.4,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,True,False,False,0.0,-0.011627095,0.0,0,0.0,-0.007492509435946951,0.0,0.0,13.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Chelsea v West Bromwich Albion,Chelsea,West Bromwich Albion,0,8.3,Pass,John MIKEL,Chelsea,,,18.0,5.0,-1.0,-1.0,0.0008784457777777778,A,A,False,True,0,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,True,False,False,True,0.011859018,0.0,0.0,0,0.007641960805004581,0.0,0.0,0.0,15.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Chelsea v West Bromwich Albion,Chelsea,West Bromwich Albion,0,9.6,Touch,RAMIRES,Chelsea,,,3.0,3.0,-1.0,-1.0,0.0,A,A,True,True,0,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.299999999999999,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,True,False,True,0.0,-0.020896542,0.0,0,0.0,-0.013465748590999022,0.0,0.0,1.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Chelsea v West Bromwich Albion,Chelsea,West Bromwich Albion,0,10.4,Touch,Youssouf MULUMBU,West Bromwich Albion,,,-2.0,1.0,1.0,1.0,0.0,B,B,False,False,0,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,True,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Chelsea v West Bromwich Albion,Chelsea,West Bromwich Albion,0,11.4,Touch,Youssouf MULUMBU,West Bromwich Albion,,,3.0,-2.0,1.0,1.0,0.0,B,B,False,False,0,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
