Competition,Match Name,Team A,Team B,Half,Time,Event Name,Player1 Name,Player1 Team,Player2 Name,Player2 Team,X,Y,Inversion (Possession),Inversion (Active),Offensiveness,Possession,Active Team,Transition,Player Transition,Goal Difference,Possession Number,Move Number,Last Direct Play,Last Counter Attack,Last Maintenance,Last Build Up,Last Sustained Threat,Last Fast Tempo,Last Crossing,Last High Press,Time From Possession Start,Time From Set Play,Time From Direct Play,Time From Counter Attack,Time From Maintenance,Time From Build Up,Time From Sustained Threat,Time From Fast Tempo,Time From Crossing,Time From High Press,Time To Shot,Time To Goal,Time To Offside,Possession Regain,Possession Loss,Disruption,Move Start,BMP+,BMP-,xG Score,Goal Move,wBMP+,wBMP-,wxG Score,wGoal Move,Distance Forward,SPxG Value,SPwxG Value,SPxG+ Player,SPxG+ Team,SPxG- Player,SPxG- Team
EPL 2011/12,11.08.20 Swansea City v Wigan Athletic,Swansea City,Wigan Athletic,0,0.0,Start Of Half,Mohamed DIAME,Wigan Athletic,,,0.0,0.0,1.0,1.0,0.0008125059259259259,B,B,False,True,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.01096883,0.0,0.0,0,0.007068322936752301,0.0,0.0,0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Swansea City v Wigan Athletic,Swansea City,Wigan Athletic,0,0.7,Pass,Franco DI SANTO,Wigan Athletic,,,0.0,2.0,1.0,1.0,0.0009600360740740741,B,B,False,True,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.012960487,0.0,0.0,0,0.00835174832079447,0.0,0.0,0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Swansea City v Wigan Athletic,Swansea City,Wigan Athletic,0,3.0,Pass,Ben WATSON,Wigan Athletic,,,-15.0,-4.0,1.0,1.0,0.00040615540740740746,B,B,False,True,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0054830980000000005,0.0,0.0,0,0.0035333127925093804,0.0,0.0,0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Swansea City v Wigan Athletic,Swansea City,Wigan Athletic,0,4.6,Touch,Antolin ALCARAZ,Wigan Athletic,,,-30.0,-14.0,1.0,1.0,0.0,B,B,False,False,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Swansea City v Wigan Athletic,Swansea City,Wigan Athletic,0,6.2,Touch,Antolin ALCARAZ,Wigan Athletic,,,-27.0,-16.0,1.0,1.0,0.0,B,B,False,False,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Swansea City v Wigan Athletic,Swansea City,Wigan Athletic,0,7.8,Pass,Antolin ALCARAZ,Wigan Athletic,,,-19.0,-16.0,1.0,1.0,0.0,B,B,True,True,0,1,4,0.4500000000000002,0.0,0.0,0.0,0.0,0.0,0,0.0,7.8,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,True,False,False,0.0,-0.011627095,0.0,0,0.0,-0.007492509435946951,0.0,0,9.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Swansea City v Wigan Athletic,Swansea City,Wigan Athletic,0,9.5,Pass,Angel RANGEL,Swansea City,,,10.0,-29.0,-1.0,-1.0,0.001225702962962963,A,A,False,True,0,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,True,False,False,True,0.01654699,0.0,0.0,0,0.010662893759061902,0.0,0.0,0,17.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Swansea City v Wigan Athletic,Swansea City,Wigan Athletic,0,10.4,Touch,Nathan DYER,Swansea City,,,-7.0,-25.0,-1.0,-1.0,0.0,A,A,False,False,0,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9000000000000004,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Swansea City v Wigan Athletic,Swansea City,Wigan Athletic,0,11.0,Pass,Nathan DYER,Swansea City,,,-6.0,-25.0,-1.0,-1.0,0.0006357525185185184,A,A,False,True,0,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.008582659,0.0,0.0,0,0.00553067241155379,0.0,0.0,0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.20 Swansea City v Wigan Athletic,Swansea City,Wigan Athletic,0,11.7,Touch,Kemy AGUSTIEN,Swansea City,,,8.0,-25.0,-1.0,-1.0,0.0,A,A,False,False,0,2,7,0.0,0.0,0.28,0.0,0.0,0.0,0,0.0,2.1999999999999993,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,
