Competition,Match Name,Team A,Team B,Half,Time,Event Name,Player1 Name,Player1 Team,Player2 Name,Player2 Team,X,Y,Inversion (Possession),Inversion (Active),Offensiveness,Possession,Active Team,Transition,Player Transition,Goal Difference,Possession Number,Move Number,Last Direct Play,Last Counter Attack,Last Maintenance,Last Build Up,Last Sustained Threat,Last Fast Tempo,Last Crossing,Last High Press,Time From Possession Start,Time From Set Play,Time From Direct Play,Time From Counter Attack,Time From Maintenance,Time From Build Up,Time From Sustained Threat,Time From Fast Tempo,Time From Crossing,Time From High Press,Time To Shot,Time To Goal,Time To Offside,Possession Regain,Possession Loss,Disruption,Move Start,BMP+,BMP-,xG Score,Goal Move,wBMP+,wBMP-,wxG Score,wGoal Move,Distance Forward,SPxG Value,SPwxG Value,SPxG+ Player,SPxG+ Team,SPxG- Player,SPxG- Team
EPL 2011/12,11.08.21 Bolton Wanderers v Manchester City,Bolton Wanderers,Manchester City,0,0.0,Start Of Half,Sergio AGUERO,Manchester City,,,-0.09,0.75,-1.0,-1.0,0.002923553407407407,B,B,False,True,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.039467971,0.0,0.0,0,0.02543319248145651,0.0,0.0,0.0,0.1,0.0,0.0,,,,
EPL 2011/12,11.08.21 Bolton Wanderers v Manchester City,Bolton Wanderers,Manchester City,0,0.4,Touch,David SILVA,Manchester City,,,-0.19,-0.85,-1.0,-1.0,0.0,B,B,False,False,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.21 Bolton Wanderers v Manchester City,Bolton Wanderers,Manchester City,0,1.2,Pass,David SILVA,Manchester City,,,0.53,-0.36,-1.0,-1.0,0.0007556609629629631,B,B,False,True,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.010201423000000001,0.0,0.0,0,0.006573805244352631,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.21 Bolton Wanderers v Manchester City,Bolton Wanderers,Manchester City,0,3.4,Touch,Aleksandar KOLAROV,Manchester City,,,21.01,18.73,-1.0,-1.0,0.0,B,B,False,False,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.7700000000000031,0.0,0.0,,,,
EPL 2011/12,11.08.21 Bolton Wanderers v Manchester City,Bolton Wanderers,Manchester City,0,4.6,Touch,Aleksandar KOLAROV,Manchester City,,,20.24,22.55,-1.0,-1.0,0.0,B,B,False,True,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,40.28,0.0,0.0,,,,
EPL 2011/12,11.08.21 Bolton Wanderers v Manchester City,Bolton Wanderers,Manchester City,0,4.7,Tackle,Aleksandar KOLAROV,Manchester City,Kevin DAVIES,Bolton Wanderers,20.04,22.92,-1.0,1.0,0.0,B,A,True,True,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,True,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.21 Bolton Wanderers v Manchester City,Bolton Wanderers,Manchester City,0,6.3,Ball Out Of Play,,,,,36.0,36.0,,,0.0,U,U,True,False,0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.21 Bolton Wanderers v Manchester City,Bolton Wanderers,Manchester City,0,19.8,Throw In,Aleksandar KOLAROV,Manchester City,,,25.05,33.96,-1.0,-1.0,0.0,B,B,False,True,0,2,5,0.1905000000000001,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,26.29,0.0,0.0,,,,
EPL 2011/12,11.08.21 Bolton Wanderers v Manchester City,Bolton Wanderers,Manchester City,0,21.5,Header,Fabrice MUAMBA,Bolton Wanderers,,,1.24,25.36,-1.0,1.0,0.0,B,A,True,True,0,2,6,0.1905000000000001,0.0,0.0,0.0,0.0,0.0,0,0.0,1.6999999999999993,inf,1.6999999999999993,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,True,True,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
EPL 2011/12,11.08.21 Bolton Wanderers v Manchester City,Bolton Wanderers,Manchester City,0,24.1,Foul,Gareth BARRY,Manchester City,Kevin DAVIES,Bolton Wanderers,16.21,20.94,,,0.0,U,U,True,False,0,-1,-1,0.1905000000000001,0.0,0.0,0.0,0.0,0.0,0,0.0,4.300000000000001,inf,4.300000000000001,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
